Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,Duration,Utterance_Length
1421,"Ok, bye.  Well, Monica's not coming, it's just gonna be me and Rachel.",Ross,neutral,neutral,147,0,1,5,1900-01-01 00:07:08.803,1900-01-01 00:07:12.389,3.586,13
1422,"Oh. Well, hold on camper, are you sure you've thought this thing through?",Chandler,neutral,neutral,147,1,1,5,1900-01-01 00:07:13.766,1900-01-01 00:07:16.852,3.086,13
1423,It's laundry. The thinking through is minimal.,Ross,neutral,neutral,147,2,1,5,1900-01-01 00:07:17.103,1900-01-01 00:07:20.272,3.169,7
1424,"It's just you and Rachel, just the two of you? This is a date. You're going on a date.",Chandler,joy,positive,147,3,1,5,1900-01-01 00:07:21.399,1900-01-01 00:07:26.027,4.628,19
1427,"So what're you saying here? I should shave again, pick up some wine, what?",Ross,surprise,negative,147,6,1,5,1900-01-01 00:07:33.703,1900-01-01 00:07:37.539,3.836,14
1428,"Well, you may wanna rethink the dirty underwear.",Chandler,disgust,negative,147,7,1,5,1900-01-01 00:07:37.790,1900-01-01 00:07:41.126,3.336,8
1429,This is basically the first time she's gonna see your underwearyou want it to be dirty?,Chandler,surprise,negative,147,8,1,5,1900-01-01 00:07:42.420,1900-01-01 00:07:46.548,4.128,16
1431,"Oh, and uh, the fabric softener?",Chandler,neutral,neutral,147,10,1,5,1900-01-01 00:07:53.639,1900-01-01 00:07:55.807,2.168,6
1432,"Ok, ok, now what is wrong with my",Ross,anger,negative,147,11,1,5,1900-01-01 00:07:56.017,1900-01-01 00:07:58.810,2.793,8
1434,"Ok, so it's just because it was my table, I have to buy a new one?",Chandler,anger,negative,148,0,1,12,1900-01-01 00:07:31.909,1900-01-01 00:07:35.036,3.127,16
1436,"What rule? There's no rule, if anything, you owe me a table!",Chandler,anger,negative,148,2,1,12,1900-01-01 00:07:37.999,1900-01-01 00:07:41.543,3.544,12
1437,How'd you get to that?,Joey,anger,negative,148,3,1,12,1900-01-01 00:07:41.961,1900-01-01 00:07:45.088,3.127,5
1438,"Well, I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio",Chandler,anger,negative,148,4,1,12,1900-01-01 00:07:45.256,1900-01-01 00:07:47.996,2.74,17
1439,You knew about that?,Joey,surprise,positive,148,5,1,12,1900-01-01 00:07:48.843,1900-01-01 00:07:49.926,1.083,4
1440,"Well, let's just say the impressions you made in the butter left little to the imagination.",Chandler,disgust,negative,148,6,1,12,1900-01-01 00:07:50.094,1900-01-01 00:07:57.100,7.006,16
1441,"Ok, ok, How about if we split it?",Joey,neutral,neutral,148,7,1,12,1900-01-01 00:07:55.308,1900-01-01 00:07:57.100,1.792,8
1442,"What do you mean, like, buy it together?",Chandler,neutral,neutral,148,8,1,12,1900-01-01 00:07:58.186,1900-01-01 00:08:00.187,2.001,8
1444,You think we're ready for something like that?,Chandler,neutral,neutral,148,10,1,12,1900-01-01 00:08:01.772,1900-01-01 00:08:03.982,2.21,8
1446,"Well, it's a pretty big commitment, I mean, what if one of us wants to move out?",Chandler,neutral,neutral,148,12,1,12,1900-01-01 00:08:07.278,1900-01-01 00:08:09.821,2.543,17
1448,I'm not moving out.,Chandler,neutral,neutral,148,14,1,12,1900-01-01 00:08:10.926,1900-01-01 00:08:12.206,1.28,4
1449,You'd tell me if you were moving out right,Joey,fear,negative,148,15,1,12,1900-01-01 00:08:12.325,1900-01-01 00:08:14.409,2.084,9
1450,"Yeah, yeah, it's just that with my last roommate Kip...",Chandler,neutral,neutral,148,16,1,12,1900-01-01 00:08:14.577,1900-01-01 00:08:16.559,1.982,10
1451,"Aw, I know all about Kip!",Joey,anger,negative,148,17,1,12,1900-01-01 00:08:16.559,1900-01-01 00:08:19.421,2.862,6
1452,"It's just that we bought a hibachi together, and then he ran off and got married, and things got pretty ugly.",Chandler,anger,negative,148,18,1,12,1900-01-01 00:08:19.540,1900-01-01 00:08:23.877,4.337,21
1453,"Well, let me ask you something, was Kip a better roommate than me?",Joey,sadness,negative,148,19,1,12,1900-01-01 00:08:24.921,1900-01-01 00:08:28.798,3.877,13
1454,"Aw, don't do that",Chandler,sadness,negative,148,20,1,12,1900-01-01 00:08:29.800,1900-01-01 00:08:31.551,1.751,4
1455,"Ooh, oh no! I have to go! I have a massage appointment.",Phoebe,sadness,negative,149,0,8,7,1900-01-01 00:13:57.294,1900-01-01 00:14:01.172,3.878,12
1456,"Oh no, stay here well keep doing this. Ill pay you.",Eric,neutral,neutral,149,1,8,7,1900-01-01 00:14:01.340,1900-01-01 00:14:04.592,3.252,11
1457,"No, I got in trouble for that before. Ill see you later.",Phoebe,neutral,neutral,149,2,8,7,1900-01-01 00:14:05.469,1900-01-01 00:14:11.766,6.297,12
1458,Absolutely.  I love the way you kiss.,Eric,joy,positive,149,3,8,7,1900-01-01 00:14:13.978,1900-01-01 00:14:16.020,2.042,7
1459,Oh my God! Oh my God! Im so sorry!,Mona,fear,negative,150,0,8,8,1900-01-01 00:10:59.659,1900-01-01 00:11:01.785,2.126,9
1460,"Aw forget it, its from",Ross,neutral,neutral,150,1,8,8,1900-01-01 00:11:01.952,1900-01-01 00:11:04.663,2.711,5
1461,You think you can knock up my daughter and then not marry her?! Im gonna kill you!!,Dr. Green,anger,negative,150,2,8,8,1900-01-01 00:11:14.382,1900-01-01 00:11:20.553,6.171,17
1462,Yknow this is actually not a great time for me.,Ross,sadness,negative,150,3,8,8,1900-01-01 00:11:22.932,1900-01-01 00:11:25.475,2.543,10
1463,"Okay! So, well just stay married.",Rachel,joy,positive,151,0,6,1,1900-01-01 00:12:18.404,1900-01-01 00:12:21.156,2.752,6
1465,And I will make everyone call me Mrs. Geller!,Rachel,joy,positive,151,2,6,1,1900-01-01 00:12:22.867,1900-01-01 00:12:26.661,3.794,9
1466,"Wow! This is so amazing. I uh, I really thought Id have to talk you into this more.",Ross,joy,positive,151,3,6,1,1900-01-01 00:12:28.247,1900-01-01 00:12:34.002,5.755,18
1469,What-wh-what so well just stay married forever?!,Rachel,surprise,negative,151,6,6,1,1900-01-01 00:12:56.233,1900-01-01 00:12:58.735,2.502,7
1470,"Okay, look, how is this gonna affect you?",Ross,neutral,neutral,151,7,6,1,1900-01-01 00:12:59.153,1900-01-01 00:13:03.573,4.42,8
1472,I mean you fill some form out once and a while and instead of checking the box that says Ms you check the box that says Mrs.!,Ross,joy,positive,151,9,6,1,1900-01-01 00:13:06.327,1900-01-01 00:13:17.045,10.718,27
1474,"Ohh, okay, Im sorry.",Rachel,sadness,negative,151,11,6,1,1900-01-01 00:13:19.131,1900-01-01 00:13:21.509,2.378,4
1478,Im asking you to do me a favor.,Ross,neutral,neutral,151,15,6,1,1900-01-01 00:13:39.401,1900-01-01 00:13:44.072,4.671,8
1479,You are asking me to be your wife!,Rachel,anger,negative,151,16,6,1,1900-01-01 00:13:46.116,1900-01-01 00:13:49.911,3.795,8
1480,And as my wife I think you should grant me this favor.,Ross,neutral,neutral,151,17,6,1,1900-01-01 00:13:50.120,1900-01-01 00:13:55.041,4.921,12
1482,"I know, I know, I'm such an idiot.",Paul,joy,positive,152,1,1,1,1900-01-01 00:10:24.498,1900-01-01 00:10:28.793,4.295,8
1485,"My brother's going through that right now, he's such a mess. How did you get through it?",Monica,neutral,neutral,152,4,1,1,1900-01-01 00:10:36.427,1900-01-01 00:10:40.680,4.253,17
1486,"Well, you might try accidentally breaking something valuable of hers, say her-",Paul,neutral,neutral,152,5,1,1,1900-01-01 00:10:40.890,1900-01-01 00:10:44.392,3.502,12
1488,"That's one way! Me, I- I went for the watch.",Paul,neutral,neutral,152,7,1,1,1900-01-01 00:10:48.773,1900-01-01 00:10:50.315,1.542,10
1489,You actually broke her watch?,Monica,surprise,positive,152,8,1,1,1900-01-01 00:10:50.775,1900-01-01 00:10:52.651,1.876,5
1493,I am so sorry...,Rachel,sadness,negative,152,10,1,1,1900-01-01 00:10:54.737,1900-01-01 00:10:56.422,1.685,4
1494,"I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju-  Hi, machine cut me off again... anyway...",Rachel,sadness,negative,152,11,1,1,1900-01-01 00:10:56.614,1900-01-01 00:11:06.706,10.092,42
1495,"No real-, honey, really its fine, just g-go with Susan.",Ross,neutral,neutral,153,0,3,6,1900-01-01 00:09:15.304,1900-01-01 00:09:21.851,6.547,10
1496,"Really, I, no, I think girls night out is a great idea.",Ross,joy,positive,153,1,3,6,1900-01-01 00:09:20.768,1900-01-01 00:09:25.146,4.378,12
1498,So what are they doing?,Phoebe,neutral,neutral,153,3,3,6,1900-01-01 00:09:29.402,1900-01-01 00:09:30.487,1.085,5
1499,"I dont know, something girlie.",Ross,joy,positive,153,4,3,6,1900-01-01 00:09:30.487,1900-01-01 00:09:32.851,2.364,5
1501,What are you doing with the lamp?,Monica,surprise,positive,153,6,3,6,1900-01-01 00:09:38.160,1900-01-01 00:09:40.078,1.918,7
1502,Im just taking it to be re-wired.,Phoebe,neutral,neutral,153,7,3,6,1900-01-01 00:09:40.580,1900-01-01 00:09:51.965,11.385,7
1503,"Oh, well dont take it to the same place you took the stereo, cause theyve had that thing for over a week.",Monica,disgust,negative,153,8,3,6,1900-01-01 00:09:44.333,1900-01-01 00:10:00.015,15.682,22
1504,"No, no, Mr. Heckles no one is making any noise up here.",Phoebe,neutral,neutral,153,9,3,6,1900-01-01 00:09:56.512,1900-01-01 00:10:00.015,3.503,12
1505,Youre disturbing my oboe practice.,Mr. Heckles,anger,negative,153,10,3,6,1900-01-01 00:10:00.558,1900-01-01 00:10:02.934,2.376,5
1506,You dont play the oboe!,Phoebe,anger,negative,153,11,3,6,1900-01-01 00:10:03.311,1900-01-01 00:10:04.523,1.212,5
1507,I could play the oboe!,Mr. Heckles,anger,negative,153,12,3,6,1900-01-01 00:10:04.523,1900-01-01 00:10:06.491,1.968,5
1508,Ohhh! That is soo sweet!,Rachel,joy,positive,154,0,3,12,1900-01-01 00:13:59.713,1900-01-01 00:14:02.799,3.086,5
1509,"Okay, okay look, I know I'm being Mr. Inappropriate today, but it's just so tough, I mean see you walking around and I just wanna touch you and hold you, come on no one's around, just, just kiss me.",Mark,joy,positive,154,1,3,12,1900-01-01 00:14:03.759,1900-01-01 00:14:14.018,10.259,39
1510,"All right that's, that's it!! Get off her!",Ross,anger,negative,154,2,3,12,1900-01-01 00:14:14.186,1900-01-01 00:14:16.248,2.062,8
1511,What is going on?,Mark,surprise,negative,154,3,3,12,1900-01-01 00:14:16.248,1900-01-01 00:14:17.920,1.672,4
1512,What's going on?!  That's what's going on!!,Ross,anger,negative,154,4,3,12,1900-01-01 00:14:18.023,1900-01-01 00:14:20.817,2.794,7
1514,I have been down in your store for twenty minutes trying to get a tie!,Ross,anger,negative,154,6,3,12,1900-01-01 00:14:27.408,1900-01-01 00:14:31.953,4.545,15
1515,What do I have to do to get some service?!,Ross,anger,negative,154,7,3,12,1900-01-01 00:14:34.081,1900-01-01 00:14:36.791,2.71,10
1519,Hey its Mona! From the wedding.,Mona,joy,positive,155,2,8,5,1900-01-01 00:20:40.572,1900-01-01 00:20:43.074,2.502,6
1522,Wow! Uhhow are you?,Ross,surprise,positive,155,5,8,5,1900-01-01 00:20:47.371,1900-01-01 00:20:49.497,2.126,5
1523,"Im good except umm, you still owe me a dance.",Mona,neutral,neutral,155,6,8,5,1900-01-01 00:20:49.665,1900-01-01 00:20:56.170,6.505,10
1524,"Oh thats right. Well uh, would you be interested in seeing a Ukrainian film?",Ross,joy,positive,155,7,8,5,1900-01-01 00:20:51.458,1900-01-01 00:20:56.170,4.712,14
1525,Oh youre serious. Sure!,Mona,surprise,positive,155,8,8,5,1900-01-01 00:20:58.465,1900-01-01 00:21:00.383,1.918,4
1527,I think I might need one more cup of coffee.,Mona,neutral,neutral,155,10,8,5,1900-01-01 00:21:05.180,1900-01-01 00:21:07.390,2.21,10
1528,"Sure! Uh, let me get it for ya.",Ross,neutral,neutral,155,11,8,5,1900-01-01 00:21:07.557,1900-01-01 00:21:09.101,1.544,8
1530,"Look, I feel really bad about how I freaked you out before, so I called the father and asked him to meet you here so you can tell him.",Phoebe,sadness,negative,156,0,8,2,1900-01-01 00:13:49.662,1900-01-01 00:13:56.960,7.298,29
1532,"What? Hey wait a minute! Phoebe, how do you even know who the father is?",Rachel,surprise,negative,156,2,8,2,1900-01-01 00:13:57.169,1900-01-01 00:14:01.172,4.003,15
1533,"I may play the fool at times, but Im a little more than a pretty blond girl with an ass that wont quit.",Phoebe,anger,negative,156,3,8,2,1900-01-01 00:14:01.382,1900-01-01 00:14:09.430,8.048,23
1534,I believe this belongs to the father of your baby.,Phoebe,neutral,neutral,156,4,8,2,1900-01-01 00:14:11.100,1900-01-01 00:14:14.602,3.502,10
1535,"Oh God Oh, hes in there right now?",Rachel,surprise,negative,156,5,8,2,1900-01-01 00:14:14.770,1900-01-01 00:14:19.816,5.046,8
1536,Uh-huh. Now you can turn around or you can go in there and rip the Band-Aid off. What to you want to do?,Phoebe,neutral,neutral,156,6,8,2,1900-01-01 00:14:20.109,1900-01-01 00:14:25.947,5.838,23
1542,"Hey, thank you so much for these tickets, Chandler.",Phoebe,joy,positive,157,0,9,20,1900-01-01 00:23:25.600,1900-01-01 00:23:28.478,2.878,9
1543,"Oh well, this was a really important experience for me, and    I wanted to share it with you.",Chandler,joy,positive,157,1,9,20,1900-01-01 00:23:28.645,1900-01-01 00:23:33.024,4.379,18
1544,"Oh, you're so wonderful.",Monica,joy,positive,157,2,9,20,1900-01-01 00:23:33.191,1900-01-01 00:23:34.985,1.794,4
1548,"It can’t be me, I’m standing right here.",Joey,neutral,neutral,158,1,9,1,1900-01-01 00:07:23.359,1900-01-01 00:07:26.069,2.71,8
1554,Well I’m peeking.  Oh my God!,Mr. Geller,surprise,negative,158,7,9,1,1900-01-01 00:07:41.627,1900-01-01 00:07:46.965,5.338,6
1555,"Hello sir, you know Monica.",Chandler,neutral,neutral,158,8,9,1,1900-01-01 00:07:48.009,1900-01-01 00:07:52.095,4.086,5
1560,"Like he came by to pick me up, and I opened the door, and it was just like, click!",Joanna,joy,positive,159,3,3,20,1900-01-01 00:09:41.998,1900-01-01 00:09:46.293,4.295,19
1561,Did he tell you?,Joanna,surprise,positive,159,4,3,20,1900-01-01 00:09:46.460,1900-01-01 00:09:47.961,1.501,4
1563,"Oh, and hes got such a good heart! Doesnt he have a good heart?",Joanna,joy,positive,159,5,3,20,1900-01-01 00:09:48.170,1900-01-01 00:09:50.922,2.752,14
1565,"Oh, I know and hes soo sweet! Listen, he said he was going to call, so put him straight through.",Joanna,joy,positive,159,7,3,20,1900-01-01 00:09:51.090,1900-01-01 00:09:55.010,3.92,20
1573,I?ve got some bad news.,Rachel,sadness,negative,160,5,3,14,1900-01-01 00:05:37.295,1900-01-01 00:05:38.922,1.627,5
1575,"I can get a quick bite to eat, but then I have to come back up here.",Rachel,neutral,neutral,160,7,3,14,1900-01-01 00:05:39.630,1900-01-01 00:05:41.965,2.335,17
1576,"Come on sweetie! You?ve had to work late every night for the past two weeks, what is it this time?",Ross,sadness,negative,160,8,3,14,1900-01-01 00:05:42.133,1900-01-01 00:05:48.305,6.172,20
1578,"But work comes first!  Oh hey, but that?s sad about you though, what happened? Burn out? Burn all out, did ya?",Ross,joy,positive,160,10,3,14,1900-01-01 00:05:48.473,1900-01-01 00:05:57.689,9.216,21
1579,"Nooo, he?s leaving for a better job.",Rachel,neutral,neutral,160,11,3,14,1900-01-01 00:05:59.609,1900-01-01 00:06:01.735,2.126,7
1580,"Oh well that?s great, so I guess this is ah, this is good bye then. Huh?  Good bye.",Ross,joy,positive,160,12,3,14,1900-01-01 00:06:01.903,1900-01-01 00:06:06.740,4.837,18
1583,Well we?re gonna miss you around here.,Rachel,sadness,negative,160,15,3,14,1900-01-01 00:06:10.870,1900-01-01 00:06:12.996,2.126,7
1585,"So, see ya on Saturday.",Mark,neutral,neutral,160,17,3,14,1900-01-01 00:06:17.502,1900-01-01 00:06:19.004,1.502,5
1608,"Seriously dude, 3 years ago.",Chandler,joy,positive,161,1,9,12,1900-01-01 00:09:22.353,1900-01-01 00:09:24.479,2.126,5
1609,"Listen, can you do me a favor?",Ross,neutral,neutral,161,2,9,12,1900-01-01 00:09:26.315,1900-01-01 00:09:28.026,1.711,7
1610,I'm gonna be out today.,Ross,neutral,neutral,161,3,9,12,1900-01-01 00:09:28.026,1900-01-01 00:09:29.343,1.317,5
1611,"Can you    just keep an eye on Joey, make sure nothing happens between him and Molly?",Ross,neutral,neutral,161,4,9,12,1900-01-01 00:09:29.485,1900-01-01 00:09:33.613,4.128,16
1612,You don't trust him?,Chandler,surprise,positive,161,5,9,12,1900-01-01 00:09:33.823,1900-01-01 00:09:35.949,2.126,4
1587,I think the check in is that way.,Ross,neutral,neutral,162,0,5,24,1900-01-01 00:01:02.979,1900-01-01 00:01:04.981,2.002,8
1589,"Monica face it, Chandler is against marriage. And-and always will be!",Joey,neutral,neutral,163,0,6,25,1900-01-01 00:06:45.321,1900-01-01 00:06:48.323,3.002,11
1590,Well theres some people who do want to marry me.,Monica,anger,negative,163,1,6,25,1900-01-01 00:06:51.786,1900-01-01 00:06:54.538,2.752,10
1593,R-R-Richard said he wants to marry you?!  And-and Chandlers tellin ya how much he hates marriage?!,Joey,surprise,negative,163,4,6,25,1900-01-01 00:06:57.625,1900-01-01 00:06:59.584,1.959,16
1596,You just told me that he hates marriage!,Monica,surprise,negative,163,7,6,25,1900-01-01 00:07:09.429,1900-01-01 00:07:11.555,2.126,8
1597,That-that hes a-a complex fellow whos unlikely to take a wife!,Monica,anger,negative,163,8,6,25,1900-01-01 00:07:11.806,1900-01-01 00:07:15.308,3.502,11
1598,That-that hes against marriage and always will be!,Monica,anger,negative,163,9,6,25,1900-01-01 00:07:15.560,1900-01-01 00:07:18.103,2.543,8
1600,"You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",Ross,fear,negative,164,0,1,1,1900-01-01 00:20:43.492,1900-01-01 00:20:49.080,5.588,20
1602,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.,Ross,surprise,positive,164,2,1,1,1900-01-01 00:20:52.084,1900-01-01 00:20:58.138,6.054,15
1605,"Listen, do you think- and try not to let my intense vulnerability become any kind of a factor herebut do you think it would be okay if I asked you out?",Ross,fear,negative,164,5,1,1,1900-01-01 00:21:05.514,1900-01-01 00:21:16.983,11.469,31
1609,"Okay... okay, maybe I will...",Ross,joy,positive,164,9,1,1,1900-01-01 00:21:20.529,1900-01-01 00:21:31.872,11.343,5
1611,"Well, I just thought itd make me feel good to do something nice for my friend.",Chandler,neutral,neutral,165,0,4,7,1900-01-01 00:14:12.852,1900-01-01 00:14:16.531,3.679,16
1614,"A TV as if it appears from nowhere! Thats the dream! Man, how did you afford this stuff?",Joey,surprise,positive,165,3,4,7,1900-01-01 00:14:24.196,1900-01-01 00:14:31.953,7.757,18
1615,"Well, yknow Im 29. I mean who needs a savings account.",Chandler,neutral,neutral,165,4,4,7,1900-01-01 00:14:32.162,1900-01-01 00:14:35.206,3.044,11
1616,"Oh, you are the best friends anyone has ever had.",Joey,joy,positive,165,5,4,7,1900-01-01 00:14:35.624,1900-01-01 00:14:38.167,2.543,10
1617,"Oh, I dont know.",Chandler,fear,negative,165,6,4,7,1900-01-01 00:14:38.961,1900-01-01 00:14:41.045,2.084,4
1619,"You do this, you give me the great advice, and hey listen, I was thinking about what you said yesterday about focusing on one woman, Im gonna do that.",Joey,joy,positive,165,8,4,7,1900-01-01 00:14:42.673,1900-01-01 00:14:50.513,7.84,29
1621,"No-no-no, I think Im gonna see how things go with Kathy. Shes pretty cool.",Joey,neutral,neutral,165,10,4,7,1900-01-01 00:14:52.141,1900-01-01 00:14:55.518,3.377,14
1628,I think somebodys got a little crush on Casey.,Joey,joy,positive,165,16,4,7,1900-01-01 00:15:03.569,1900-01-01 00:15:07.030,3.461,9
1629,How bout I fix you two up?,Joey,joy,positive,165,17,4,7,1900-01-01 00:15:07.323,1900-01-01 00:15:08.375,1.052,7
1630,What do you think?,Joey,joy,positive,165,18,4,7,1900-01-01 00:15:08.375,1900-01-01 00:15:10.097,1.722,4
1631,That all the pieces of my life are falling right into place!,Chandler,joy,positive,165,19,4,7,1900-01-01 00:15:10.326,1900-01-01 00:15:14.621,4.295,12
1632,"Hey, anybody got a length of rope about six feet long with a little nouse at the end?",Chandler,neutral,neutral,166,0,3,11,1900-01-01 00:02:36.156,1900-01-01 00:02:40.242,4.086,18
1635,"Cause every time I see your face, I cant help but fall from grace. I know.....",Singer,joy,positive,167,0,3,14,1900-01-01 00:00:10.135,1900-01-01 00:00:18.100,7.965,16
1636,Wow! This girl is good.,Joey,surprise,positive,167,1,3,14,1900-01-01 00:00:18.268,1900-01-01 00:00:19.852,1.584,5
1637,"Oh-ho yeah! A song with rhyming words. Oo, I never thought of that before.",Phoebe,anger,negative,167,2,3,14,1900-01-01 00:00:20.020,1900-01-01 00:00:23.856,3.836,14
1639,Why? Because she can sing and play guitar and do both at the same time?,Phoebe,neutral,neutral,167,4,3,14,1900-01-01 00:00:27.402,1900-01-01 00:00:31.655,4.253,15
1640,"Well, thats pretty much all Im looking for from these people.",Chandler,neutral,neutral,167,5,3,14,1900-01-01 00:00:32.741,1900-01-01 00:00:35.492,2.751,11
1641,Look at you. All jealous.,Monica,anger,negative,167,6,3,14,1900-01-01 00:00:36.369,1900-01-01 00:00:38.412,2.043,5
1642,"Yeah Pheebs, come on, you two have completely different styles. Y'know, shes more.. y'know, and youre more",Ross,neutral,neutral,167,7,3,14,1900-01-01 00:00:38.580,1900-01-01 00:00:47.880,9.3,17
1643,Say you'll stay beside me,Joey,sadness,negative,167,8,3,14,1900-01-01 00:00:49.247,1900-01-01 00:00:52.801,3.554,5
1644,"Okay, see, see, everyone else is happy shes done.",Phoebe,anger,negative,167,9,3,14,1900-01-01 00:00:57.807,1900-01-01 00:01:01.018,3.211,9
1645,"Okay, my next songs called: Phoebe Buffay, What Can I Say.",Singer,neutral,neutral,167,10,3,14,1900-01-01 00:01:02.979,1900-01-01 00:01:08.692,5.713,11
1646,"I Really Loved When We Were Singing Partners, And I Shouldnt Have Left You That Way.",Singer,neutral,neutral,167,11,3,14,1900-01-01 00:01:05.815,1900-01-01 00:01:12.321,6.506,16
1647,"Oh no, one of those look for the hidden meaning songs.",Phoebe,neutral,neutral,167,12,3,14,1900-01-01 00:01:14.657,1900-01-01 00:01:18.387,3.73,11
1650,"Umm, I used your pen to draw on my friend's face.",Ross,neutral,neutral,168,2,5,24,1900-01-01 00:05:46.346,1900-01-01 00:05:51.558,5.212,11
1651,A beard and a moustache.,Ross,neutral,neutral,168,3,5,24,1900-01-01 00:05:52.393,1900-01-01 00:05:54.478,2.085,5
1654,What?! What else did he say?,Rachel,surprise,negative,168,6,5,24,1900-01-01 00:06:24.300,1900-01-01 00:06:26.134,1.834,6
1655,"Umm, he said he thought I was funny.",Ross,neutral,neutral,168,7,5,24,1900-01-01 00:06:26.344,1900-01-01 00:06:29.596,3.252,8
1656,"So Okay, look-look umm, let's just go downstairs, we'll have some fun, and you will forget all about it.",Ross,neutral,neutral,168,8,5,24,1900-01-01 00:06:31.599,1900-01-01 00:06:38.230,6.631,19
1657,"Ross, no! There is",Rachel,anger,negative,168,9,5,24,1900-01-01 00:06:38.439,1900-01-01 00:06:41.525,3.086,4
1658,"Oh, come on! Rach, it's-it's not that bad.",Ross,neutral,neutral,168,10,5,24,1900-01-01 00:06:41.734,1900-01-01 00:06:43.819,2.085,8
1659,"Ross, I am a human doodle!!",Rachel,anger,negative,168,11,5,24,1900-01-01 00:06:44.070,1900-01-01 00:06:46.071,2.001,6
1660,"Look, just because some idiot drew on your face doesn't mean you shouldn't have any fun!",Ross,neutral,neutral,168,12,5,24,1900-01-01 00:06:47.532,1900-01-01 00:06:51.785,4.253,16
1662,"And besides, hey-hey-hey no one is even gonna",Ross,neutral,neutral,168,13,5,24,1900-01-01 00:06:52.036,1900-01-01 00:06:54.246,2.21,8
1665,"Oh wait, dont you have to pay for your,  Busty Ladies?",Rachel,joy,positive,169,1,6,15,1900-01-01 00:03:42.430,1900-01-01 00:03:46.350,3.92,11
1666,"No, its okay. Some-some kid asked me to pick it up for him, but I dont",Ross,neutral,neutral,169,2,6,15,1900-01-01 00:03:48.853,1900-01-01 00:03:53.315,4.462,16
1671,Oh my God!!! What are you doing?!!,Monica,surprise,negative,170,0,3,6,1900-01-01 00:12:38.674,1900-01-01 00:12:41.843,3.169,7
1672,"You said, you wanna come in for some lemonade?",Joey,neutral,neutral,170,1,3,6,1900-01-01 00:12:42.136,1900-01-01 00:12:44.846,2.71,9
1674,"Whoa, ah!! Were you just gonna give me some lemonade?",Joey,surprise,negative,170,3,3,6,1900-01-01 00:12:47.892,1900-01-01 00:12:51.269,3.377,10
1675,Yeah huh!! Cover yourself up!,Monica,disgust,negative,170,4,3,6,1900-01-01 00:12:51.937,1900-01-01 00:12:53.021,1.084,5
1677,"I dont believe this! When someone asks you in for lemonade, and to you that means they wanna have sex?",Monica,disgust,negative,170,6,3,6,1900-01-01 00:12:54.982,1900-01-01 00:13:00.528,5.546,20
1679,"Well, not just lemonade, iced tea, sometimes juice.",Joey,neutral,neutral,170,8,3,6,1900-01-01 00:13:03.866,1900-01-01 00:13:06.034,2.168,8
1680,"Well, sorry, I just, I thought you liked me.",Joey,neutral,neutral,170,9,3,6,1900-01-01 00:13:07.870,1900-01-01 00:13:12.040,4.17,9
1681,Im such a jerk.,Joey,sadness,negative,170,10,3,6,1900-01-01 00:13:12.249,1900-01-01 00:13:14.083,1.834,4
1682,"Its okay. I suppose it could happen to anyone, not anyone I know, but... By the way I can still see it.",Monica,neutral,neutral,170,11,3,6,1900-01-01 00:13:16.337,1900-01-01 00:13:23.009,6.672,22
1683,Hmmm... this is so nice.,Rachel,joy,positive,171,0,1,7,1900-01-01 00:12:24.452,1900-01-01 00:12:26.244,1.792,5
1684,"OK, I have a question. Well, actually, it's not so much a question as.. more of a general wondering... ment.",Ross,neutral,neutral,171,1,1,7,1900-01-01 00:12:30.875,1900-01-01 00:12:42.093,11.218,20
1686,"OK. Here goes. For a while now, I've been wanting to, um....",Ross,neutral,neutral,171,3,1,7,1900-01-01 00:12:45.306,1900-01-01 00:12:53.354,8.048,12
1689,"Oh, look at the little cat!",Rachel,surprise,positive,171,6,1,7,1900-01-01 00:12:56.400,1900-01-01 00:12:58.735,2.335,6
1691,"Well, I was probably going to do it at some point.",David,neutral,neutral,172,0,9,23,1900-01-01 00:06:16.125,1900-01-01 00:06:18.585,2.46,11
1695,"Goodbye Mike, we'll see you at the wedding, fella!",David,joy,positive,172,4,9,23,1900-01-01 00:06:21.881,1900-01-01 00:06:25.008,3.127,9
1696,"well, we probably won't invite you to the wedding...",David,neutral,neutral,172,5,9,23,1900-01-01 00:06:25.176,1900-01-01 00:06:27.844,2.668,9
1699,"Well, you're welcome! Glad I could help.",Chandler,joy,positive,172,8,9,23,1900-01-01 00:06:31.557,1900-01-01 00:06:33.183,1.626,7
1701,"David, I'm pretending to",Chandler,neutral,neutral,172,10,9,23,1900-01-01 00:06:36.313,1900-01-01 00:06:38.091,1.778,4
1702,"Okay, you have 19 questions left. Use them wisely.  Come on Joey! You cant win if you dont ask any",Phoebe,joy,positive,173,0,6,1,1900-01-01 00:10:25.791,1900-01-01 00:10:36.051,10.26,20
1704,"Well, you promised me a fun road trip!",Phoebe,joy,positive,173,2,6,1,1900-01-01 00:10:41.558,1900-01-01 00:10:43.102,1.544,8
1705,Weve been on the road six hours and youve been asleep for five and a half!,Phoebe,anger,negative,173,3,6,1,1900-01-01 00:10:40.306,1900-01-01 00:10:47.118,6.812,16
